source_table,test_family,area,soil_type,specimen_id,depth_m,stage,sigma_c_net_kPa,matric_suction_kPa,sigma_a_peak_kPa,gamma_d_g_cm3,degree_saturation,qc_specimen_id_outside_program_range
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,1st,89.6,27.6,319.5,1.71,0.82,False
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,2nd,62.1,56.2,357.2,1.71,0.77,False
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,3rd,62.1,82.7,383.5,1.72,0.71,False
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,1st,144.8,13.8,288.6,1.63,0.9,False
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,2nd,144.8,41.4,374.9,1.64,0.83,False
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,3rd,131.0,89.6,469.1,1.64,0.63,False
F3,multistage,Sheet pile,ML,ST-80A,15.0-15.5,1st,144.8,27.6,409.1,1.66,0.87,False
F3,multistage,Sheet pile,ML,ST-80A,15.0-15.5,2nd,144.8,69.0,500.6,1.68,0.65,False
F3,multistage,Sheet pile,ML,ST-80A,15.0-15.5,3rd,144.8,96.5,550.9,1.68,0.56,False
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,1st,69.0,6.9,234.3,1.66,0.89,False
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,2nd,124.1,6.9,297.9,1.66,0.89,False
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,3rd,124.1,55.2,389.9,1.67,0.72,False
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,4th,165.5,55.2,468.8,1.68,0.72,False
