source_table,test_family,area,soil_type,specimen_id,depth_m,stage,sigma_c_net_kPa,matric_suction_kPa,sigma_a_peak_kPa,gamma_d_g_cm3,degree_saturation,qc_specimen_id_outside_program_range,qc_id_note,qc_source_confirmed,tube_id,q_peak_kPa,proposed_split,deviator_stress_peak_kPa,peak_stress_definition
F2,multistage,0.5:1 Slope,MH,ST-39B,4.9-5.5,1st,34.5,55.2,143.5,1.1,0.66,False,,True,ST-39,143.5,calibration,143.5,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-39B,4.9-5.5,2nd,34.5,106.9,207.3,1.11,0.59,False,,True,ST-39,207.3,calibration,207.3,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-49A,2.0-2.5,1st,24.1,75.8,168.2,1.13,0.65,False,,True,ST-49,168.2,calibration,168.2,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-49A,2.0-2.5,2nd,24.1,120.7,202.7,1.13,0.62,False,,True,ST-49,202.7,calibration,202.7,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-49B,2.0-2.5,1st,24.1,27.6,111.7,1.12,0.9,False,,True,ST-49,111.7,calibration,111.7,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-49B,2.0-2.5,2nd,24.1,89.6,169.6,1.12,0.69,False,,True,ST-49,169.6,calibration,169.6,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-49B,2.0-2.5,3rd,24.1,137.9,206.2,1.13,0.58,False,,True,ST-49,206.2,calibration,206.2,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-51,3.0-3.5,1st,41.4,44.8,159.3,1.08,0.76,False,,True,ST-51,159.3,calibration,159.3,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-51,3.0-3.5,2nd,41.4,89.6,200.0,1.09,0.72,False,,True,ST-51,200.0,calibration,200.0,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-52,5.6-6.2,1st,62.1,31.0,215.5,1.19,0.91,False,,True,ST-52,215.5,calibration,215.5,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,MH,ST-52,5.6-6.2,2nd,62.1,62.1,266.3,1.2,0.86,False,,True,ST-52,266.3,calibration,266.3,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,ML,ST-57,13.6-14.2,1st,131.0,10.3,318.4,1.69,0.9,False,,True,ST-57,318.4,calibration,318.4,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,ML,ST-57,13.6-14.2,2nd,131.0,41.4,366.5,1.69,0.79,False,,True,ST-57,366.5,calibration,366.5,measured peak deviatoric stress from Appendix F
F2,multistage,0.25:1 Slope,ML,ST-57,13.6-14.2,3rd,131.0,62.1,377.8,1.7,0.7,False,,True,ST-57,377.8,calibration,377.8,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,SC,ST-59A,0.5-1.0,1st,20.7,20.7,136.5,1.83,0.61,False,,True,ST-59,136.5,calibration,136.5,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,SC,ST-59A,0.5-1.0,2nd,20.7,137.9,252.4,1.83,0.43,False,,True,ST-59,252.4,calibration,252.4,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,SC,ST-59C,0.5-1.0,1st,20.7,10.3,89.5,1.79,0.69,False,,True,ST-59,89.5,calibration,89.5,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,SC,ST-59C,0.5-1.0,2nd,20.7,103.4,206.2,1.79,0.58,False,,True,ST-59,206.2,calibration,206.2,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,ML,ST-62,4.0-4.5,1st,41.4,41.4,174.4,1.72,0.81,False,,True,ST-62,174.4,calibration,174.4,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,ML,ST-62,4.0-4.5,2nd,41.4,69.0,218.6,1.73,0.78,False,,True,ST-62,218.6,calibration,218.6,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,ML,ST-64,7.5-8.0,1st,75.8,34.5,237.9,1.68,0.8,False,,True,ST-64,237.9,calibration,237.9,measured peak deviatoric stress from Appendix F
F2,multistage,1:1 Slope,ML,ST-64,7.5-8.0,2nd,75.8,69.0,257.9,1.69,0.7,False,,True,ST-64,257.9,calibration,257.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-81,2.4-3.0,1st,20.7,96.5,150.1,1.24,0.42,False,,True,ST-81,150.1,calibration,150.1,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-81,2.4-3.0,2nd,20.7,117.2,163.6,1.25,0.39,False,,True,ST-81,163.6,calibration,163.6,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-81,2.4-3.0,3rd,41.4,117.2,199.6,1.26,0.39,False,,True,ST-81,199.6,calibration,199.6,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-81,2.4-3.0,4th,62.1,117.2,236.9,1.26,0.39,False,,True,ST-81,236.9,calibration,236.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-30,4.9-5.5,1st,48.3,6.9,133.6,1.4,0.84,False,,True,ST-30,133.6,holdout,133.6,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-30,4.9-5.5,2nd,48.3,48.3,196.2,1.4,0.7,False,,True,ST-30,196.2,holdout,196.2,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-30,4.9-5.5,3rd,96.5,48.3,311.9,1.41,0.71,False,,True,ST-30,311.9,holdout,311.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-83,5.5-6.1,1st,41.4,75.8,161.7,1.43,0.49,False,,True,ST-83,161.7,holdout,161.7,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-83,5.5-6.1,2nd,41.4,103.4,190.9,1.43,0.44,False,,True,ST-83,190.9,holdout,190.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-83,5.5-6.1,3rd,41.4,124.1,217.4,1.43,0.41,False,,True,ST-83,217.4,holdout,217.4,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-74,6.3-6.9,1st,62.1,55.2,272.0,1.73,0.71,False,,True,ST-74,272.0,calibration,272.0,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-74,6.3-6.9,2nd,62.1,82.7,321.7,1.73,0.69,False,,True,ST-74,321.7,calibration,321.7,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-87,11.5-12.0,1st,117.2,20.7,318.0,1.55,0.89,False,,True,ST-87,318.0,calibration,318.0,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-87,11.5-12.0,2nd,117.2,55.2,388.2,1.55,0.67,False,,True,ST-87,388.2,calibration,388.2,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-87,11.5-12.0,3rd,117.2,75.8,443.3,1.56,0.62,False,,True,ST-87,443.3,calibration,443.3,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-34A,13.5-14.1,1st,89.6,6.9,253.3,1.56,0.81,False,,True,ST-34,253.3,calibration,253.3,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-34A,13.5-14.1,2nd,89.6,27.6,316.1,1.56,0.8,False,,True,ST-34,316.1,calibration,316.1,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-34A,13.5-14.1,3rd,89.6,55.2,351.2,1.56,0.73,False,,True,ST-34,351.2,calibration,351.2,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-34B,13.5-14.1,1st,44.8,6.9,173.4,1.54,0.78,False,,True,ST-34,173.4,calibration,173.4,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-34B,13.5-14.1,2nd,89.6,6.9,254.0,1.57,0.77,False,,True,ST-34,254.0,calibration,254.0,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-34B,13.5-14.1,3rd,89.6,27.6,288.9,1.57,0.75,False,,True,ST-34,288.9,calibration,288.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,1st,89.6,27.6,319.5,1.71,0.82,False,,True,ST-79,319.5,holdout,319.5,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,2nd,62.1,56.2,357.2,1.71,0.77,False,,True,ST-79,357.2,holdout,357.2,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,3rd,62.1,82.7,383.5,1.72,0.71,False,,True,ST-79,383.5,holdout,383.5,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,1st,144.8,13.8,288.6,1.63,0.9,False,,True,ST-79,288.6,holdout,288.6,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,2nd,144.8,41.4,374.9,1.64,0.83,False,,True,ST-79,374.9,holdout,374.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,3rd,131.0,89.6,469.1,1.64,0.63,False,,True,ST-79,469.1,holdout,469.1,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80A,15.0-15.5,1st,144.8,27.6,409.1,1.66,0.87,False,,True,ST-80,409.1,calibration,409.1,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80A,15.0-15.5,2nd,144.8,69.0,500.6,1.68,0.65,False,,True,ST-80,500.6,calibration,500.6,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80A,15.0-15.5,3rd,144.8,96.5,550.9,1.68,0.56,False,,True,ST-80,550.9,calibration,550.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,1st,69.0,6.9,234.3,1.66,0.89,False,,True,ST-80,234.3,calibration,234.3,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,2nd,124.1,6.9,297.9,1.66,0.89,False,,True,ST-80,297.9,calibration,297.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,3rd,124.1,55.2,389.9,1.67,0.72,False,,True,ST-80,389.9,calibration,389.9,measured peak deviatoric stress from Appendix F
F3,multistage,Sheet pile,ML,ST-80B,15.0-15.5,4th,165.5,55.2,468.8,1.68,0.72,False,,True,ST-80,468.8,calibration,468.8,measured peak deviatoric stress from Appendix F
