axial_strain_pct,deviator_stress_kPa,q_smooth_kPa
3.1881918819188195,262.2194513715711,261.8453865336659
3.210332103321033,262.2194513715711,261.8453865336659
3.2324723247232474,261.8453865336659,262.2194513715711
3.254612546125461,262.2194513715711,262.2194513715711
3.2767527675276753,261.8453865336659,262.2194513715711
3.2988929889298895,262.2194513715711,262.2194513715711
3.3210332103321036,262.96758104738154,262.96758104738154
3.3431734317343174,263.71571072319205,263.71571072319205
3.365313653136531,264.4638403990025,264.4638403990025
3.3874538745387452,264.8379052369077,264.8379052369077
3.4095940959409594,265.21197007481294,264.8379052369077
3.4317343173431736,265.21197007481294,264.8379052369077
3.4538745387453873,264.8379052369077,264.8379052369077
3.476014760147602,265.21197007481294,264.8379052369077
3.498154981549815,264.8379052369077,264.8379052369077
3.52029520295203,264.8379052369077,264.8379052369077
3.5424354243542435,265.21197007481294,264.8379052369077
3.5645756457564572,264.8379052369077,264.8379052369077
3.586715867158672,264.8379052369077,264.8379052369077
3.608856088560885,264.8379052369077,264.8379052369077
3.6309963099630997,264.8379052369077,264.8379052369077
3.6531365313653135,264.8379052369077,264.8379052369077
3.6752767527675276,265.21197007481294,264.8379052369077
3.697416974169742,265.21197007481294,264.8379052369077
3.719557195571956,264.8379052369077,264.8379052369077
3.7416974169741697,265.21197007481294,265.21197007481294
3.7638376383763843,264.8379052369077,265.21197007481294
3.7859778597785976,264.8379052369077,265.21197007481294
3.8081180811808117,265.21197007481294,265.21197007481294
3.830258302583026,265.21197007481294,265.21197007481294
3.8523985239852396,266.33416458852867,265.96009975062344
3.8745387453874542,265.96009975062344,265.96009975062344
3.8966789667896675,265.96009975062344,265.96009975062344
3.918819188191882,265.96009975062344,265.96009975062344
3.940959409594096,265.96009975062344,265.96009975062344
3.96309963099631,265.96009975062344,265.96009975062344
3.985239852398524,265.96009975062344,265.96009975062344
4.0073800738007375,265.5860349127182,265.5860349127182
4.029520295202952,265.21197007481294,265.21197007481294
4.051660516605166,265.21197007481294,265.21197007481294
4.07380073800738,265.21197007481294,265.21197007481294
4.095940959409594,264.8379052369077,264.8379052369077
4.118081180811808,264.08977556109727,264.08977556109727
4.1402214022140225,263.71571072319205,263.71571072319205
4.162361623616237,263.71571072319205,263.71571072319205
4.18450184501845,263.34164588528677,263.71571072319205
4.206642066420665,263.34164588528677,263.71571072319205
4.228782287822878,263.71571072319205,263.71571072319205
4.2509225092250915,263.71571072319205,263.34164588528677
4.273062730627307,263.34164588528677,263.34164588528677
4.29520295202952,263.71571072319205,263.34164588528677
4.317343173431734,263.34164588528677,263.34164588528677
4.339483394833948,263.34164588528677,263.34164588528677
4.361623616236162,262.96758104738154,263.34164588528677
4.3837638376383765,263.34164588528677,263.34164588528677
4.405904059040591,263.34164588528677,263.34164588528677
4.428044280442805,263.34164588528677,263.34164588528677
4.450184501845018,263.34164588528677,263.34164588528677
4.472324723247232,263.34164588528677,263.34164588528677
4.4944649446494465,263.71571072319205,263.34164588528677
4.516605166051661,263.71571072319205,263.34164588528677
4.538745387453874,263.34164588528677,263.34164588528677
4.560885608856089,263.71571072319205,263.34164588528677
4.583025830258302,263.34164588528677,263.34164588528677
4.605166051660516,262.96758104738154,262.96758104738154
4.627306273062731,262.5935162094763,262.5935162094763
4.649446494464945,261.8453865336659,261.8453865336659
4.671586715867159,260.34912718204487,260.34912718204487
4.693726937269372,259.6009975062344,259.6009975062344
4.715867158671587,258.8528678304239,258.8528678304239
4.7380073800738005,258.4788029925187,258.4788029925187
