figure_id,specimen_id,stage_index,stage,tube_id,soil_type,family_normalized,protocol_group,strain_confidence,q0_over_qpeak,lambda_incremental,incremental_prepeak_nrmse,y10,y25,y50,y75,y90,mean_y_10_90,partial_auc_10_90,mobilization_excess,n_prepeak_points
F-42,ST-34A,1,1st,ST-34,ML,multistage,multistage_stage1,template_axis,0.1060788292217152,0.4331096324242064,0.0381327033139451,0.10545678631951937,0.2781954501104093,0.5944538591896472,0.8726493093000565,0.9784419452575361,0.578487442239661,0.4629726441739845,0.07848744223966098,218
F-42,ST-34A,2,2nd,ST-34,ML,multistage,multistage_later,template_axis,0.0761828388131515,1.4910303138857928,0.0568576315498261,0.14149305555555589,0.40538194444444436,0.7734375,0.9435763888888888,0.9817708333333334,0.692267296411318,0.554467013888889,0.192267296411318,153
F-42,ST-34A,3,3rd,ST-34,ML,multistage,multistage_later,template_axis,0.0490808920909042,1.3636769447584094,0.047591110296959,0.15970028690008678,0.4053229715049722,0.7195621291886021,0.9487897273056463,0.983705189270494,0.6825114778200441,0.546563225954709,0.18251147782004407,135
F-43,ST-34B,1,1st,ST-34,ML,multistage,multistage_stage1,template_axis,0.2350607548080791,1.8603766442786625,0.0397247470605968,0.26677116317234567,0.5251002009278447,0.7327764861822658,0.8492778169347458,0.9124249150527566,0.6877702046960178,0.5507070245847315,0.1877702046960178,159
F-43,ST-34B,2,2nd,ST-34,ML,multistage,multistage_later,template_axis,0.1040413843618384,6.3437287656195185,0.0615668085882657,0.32868707884802856,0.719372019873979,0.9289838396183803,0.9860612365440857,1.0057430975529498,0.854117463273011,0.6842284824937714,0.35411746327301097,247
F-43,ST-34B,3,3rd,ST-34,ML,multistage,multistage_later,template_axis,0.0829457364341085,4.960496708747291,0.079914738959233,0.2185967878275575,0.6601859678782758,0.9239222316145392,0.9687235841081995,0.9861369399830938,0.825095477861842,0.6611900253592562,0.325095477861842,223
F-44,ST-79A,1,1st,ST-79,ML,multistage,multistage_stage1,template_axis,0.0891600318617464,0.3046151546227054,0.0355818193443132,0.10076675261367292,0.2821469073182841,0.5614147645618919,0.8378035717308234,0.9798367087481908,0.5583461621220505,0.44676715185484606,0.05834616212205046,256
F-44,ST-79A,2,2nd,ST-79,ML,multistage,multistage_later,template_axis,0.0602032838154808,1.4482392022001294,0.0630243363543091,0.1376039933444256,0.39018302828618967,0.7795341098169714,0.9592346089850251,0.9858569051580699,0.6943274666446192,0.5561249584026622,0.1943274666446192,147
F-44,ST-79A,3,3rd,ST-79,ML,multistage,multistage_later,template_axis,0.0509769182858593,0.6003638228304424,0.0474047915151465,0.10436086510523787,0.31231523601346955,0.6307693464448945,0.9116228510663434,0.9776157510593618,0.6066418541478658,0.48564175104862045,0.10664185414786576,131
F-45,ST-79B,1,1st,ST-79,ML,multistage,multistage_stage1,template_axis,0.1481628049992661,0.3710854443160576,0.0116587102460054,0.12328797449028561,0.31205669891732024,0.578072245535364,0.8006044816485346,0.9157073623967267,0.5613614361376856,0.44929846774861937,0.06136143613768563,217
F-45,ST-79B,2,2nd,ST-79,ML,multistage,multistage_later,template_axis,0.0679307153936313,4.470910180573907,0.0673874922588654,0.2461779018735264,0.6253422580486148,0.9006728061966378,0.9852514713140045,1.033839215104832,0.8178193580689455,0.6551445404530554,0.31781935806894546,182
F-45,ST-79B,3,3rd,ST-79,ML,multistage,multistage_later,template_axis,0.0428954423592493,4.351672548275044,0.0664665387610625,0.232212885154062,0.6218487394957988,0.9033613445378151,0.9705882352941178,0.9915966386554622,0.8092511787323627,0.6483876750700281,0.30925117873236274,245
F-46,ST-80A,1,1st,ST-80,ML,multistage,multistage_stage1,template_axis,0.0605620286627375,0.6175199042272934,0.0165874658202694,0.13462066639362036,0.3379737152769412,0.6257016888717565,0.8489634278555424,0.9376045004457078,0.5962264050499899,0.4772816931481436,0.09622640504998992,286
F-46,ST-80A,2,2nd,ST-80,ML,multistage,multistage_later,template_axis,0.0727830307334901,1.6856383726779915,0.0549507359025068,0.1513407194921986,0.4223096840601796,0.7818223890779535,0.9482343835403292,0.989052419917893,0.7033147565070147,0.5633173961396215,0.2033147565070147,168
F-46,ST-80A,3,3rd,ST-80,ML,multistage,multistage_later,template_axis,0.0621693121693121,1.824511273376009,0.0622756147944471,0.16981664315937955,0.4291255289139634,0.8095909732016926,0.9732016925246827,0.9929478138222848,0.720543719174062,0.5771307827926657,0.22054371917406201,172
F-47,ST-80B,1,1st,ST-80,ML,multistage,multistage_stage1,template_axis,0.1285312500738484,0.6445204579206063,0.0144704960271212,0.1414372840772394,0.3403571007206295,0.6239880179878208,0.8433292606744488,0.9325784559745249,0.5983289917845633,0.4789697990364441,0.09832899178456334,245
F-47,ST-80B,2,2nd,ST-80,ML,multistage,multistage_later,template_axis,0.1283072239582189,0.4451784730914359,0.0263319890269845,0.07166374594494819,0.3226355367231056,0.5991802824857674,0.8132794404955704,0.8965402241660492,0.5704584519449234,0.4567985438903859,0.0704584519449234,95
F-47,ST-80B,3,3rd,ST-80,ML,multistage,multistage_later,template_axis,0.0693156375553622,2.4522980266935797,0.0663842942471429,0.1698101526183395,0.4830439178491614,0.8341551356690362,0.9873673034449816,1.025670345388968,0.7503452250104804,0.6010392048884183,0.2503452250104804,177
F-47,ST-80B,4,4th,ST-80,ML,multistage,multistage_later,template_axis,0.0514729230459907,0.7225674098926851,0.0388740307771785,0.10740358579933756,0.33731845661311793,0.6281850794326662,0.8969111085749065,0.978440588821938,0.616363226599646,0.49345778697616194,0.11636322659964604,114
