figure_id,specimen_id,stage,stage_index,scale_factor,lambda_incremental
F-39,ST-83,2nd,2,2.0,6.986752775654692
F-39,ST-83,3rd,3,0.5,2.000498154414083
F-39,ST-83,3rd,3,0.75,2.0004981635169865
F-39,ST-83,3rd,3,1.0,2.000498154414083
F-39,ST-83,3rd,3,1.25,2.000498166953665
F-39,ST-83,3rd,3,1.5,2.0004981635169865
F-39,ST-83,3rd,3,2.0,2.000498154414083
F-40,ST-74,1st,1,0.5,0.5692398609427861
F-40,ST-74,1st,1,0.75,0.5692398621633313
F-40,ST-74,1st,1,1.0,0.5692398609427861
F-40,ST-74,1st,1,1.25,0.5692398623680184
F-40,ST-74,1st,1,1.5,0.5692398621633313
F-40,ST-74,1st,1,2.0,0.5692398609427861
F-40,ST-74,2nd,2,0.5,2.2732728226597905
F-40,ST-74,2nd,2,0.75,2.273272812388164
F-40,ST-74,2nd,2,1.0,2.2732728226597905
F-40,ST-74,2nd,2,1.25,2.273272831047373
F-40,ST-74,2nd,2,1.5,2.273272812388164
F-40,ST-74,2nd,2,2.0,2.2732728226597905
F-41,ST-87,1st,1,0.5,0.41532494929904995
F-41,ST-87,1st,1,0.75,0.4153249482893595
F-41,ST-87,1st,1,1.0,0.41532494929904995
F-41,ST-87,1st,1,1.25,0.41532494816267496
F-41,ST-87,1st,1,1.5,0.4153249482893595
F-41,ST-87,1st,1,2.0,0.41532494929904995
F-41,ST-87,2nd,2,0.5,2.0065793129149023
F-41,ST-87,2nd,2,0.75,2.0065793130118608
F-41,ST-87,2nd,2,1.0,2.0065793129149023
F-41,ST-87,2nd,2,1.25,2.0065793124539946
F-41,ST-87,2nd,2,1.5,2.0065793130118608
F-41,ST-87,2nd,2,2.0,2.0065793129149023
F-41,ST-87,3rd,3,0.5,2.8956178355463114
F-41,ST-87,3rd,3,0.75,2.8956178406796944
F-41,ST-87,3rd,3,1.0,2.8956178355463114
F-41,ST-87,3rd,3,1.25,2.895617830905832
F-41,ST-87,3rd,3,1.5,2.8956178406796944
F-41,ST-87,3rd,3,2.0,2.8956178355463114
F-42,ST-34A,1st,1,0.5,0.43310963242420647
F-42,ST-34A,1st,1,0.75,0.4331096338859925
F-42,ST-34A,1st,1,1.0,0.43310963242420647
F-42,ST-34A,1st,1,1.25,0.4331096328462859
F-42,ST-34A,1st,1,1.5,0.4331096338859925
F-42,ST-34A,1st,1,2.0,0.43310963242420647
F-42,ST-34A,2nd,2,0.5,1.4910303138857928
F-42,ST-34A,2nd,2,0.75,1.491030330502157
F-42,ST-34A,2nd,2,1.0,1.4910303138857928
F-42,ST-34A,2nd,2,1.25,1.4910303445351816
F-42,ST-34A,2nd,2,1.5,1.491030330502157
F-42,ST-34A,2nd,2,2.0,1.4910303138857928
F-42,ST-34A,3rd,3,0.5,1.3636769447584094
F-42,ST-34A,3rd,3,0.75,1.3636769351457654
F-42,ST-34A,3rd,3,1.0,1.3636769447584094
F-42,ST-34A,3rd,3,1.25,1.3636769295418434
F-42,ST-34A,3rd,3,1.5,1.3636769351457654
F-42,ST-34A,3rd,3,2.0,1.3636769447584094
F-43,ST-34B,1st,1,0.5,1.8603766442786625
F-43,ST-34B,1st,1,0.75,1.8603766243709958
F-43,ST-34B,1st,1,1.0,1.8603766442786625
F-43,ST-34B,1st,1,1.25,1.8603766026154565
F-43,ST-34B,1st,1,1.5,1.8603766243709958
F-43,ST-34B,1st,1,2.0,1.8603766442786625
F-43,ST-34B,2nd,2,0.5,6.3437287656195185
F-43,ST-34B,2nd,2,0.75,6.3437287416086985
F-43,ST-34B,2nd,2,1.0,6.3437287656195185
F-43,ST-34B,2nd,2,1.25,6.343728747678039
F-43,ST-34B,2nd,2,1.5,6.3437287416086985
F-43,ST-34B,2nd,2,2.0,6.3437287656195185
F-43,ST-34B,3rd,3,0.5,4.960496708747291
F-43,ST-34B,3rd,3,0.75,4.960496723462464
F-43,ST-34B,3rd,3,1.0,4.960496708747291
F-43,ST-34B,3rd,3,1.25,4.960496711136705
F-43,ST-34B,3rd,3,1.5,4.960496723462464
F-43,ST-34B,3rd,3,2.0,4.960496708747291
F-44,ST-79A,1st,1,0.5,0.3046151546227054
F-44,ST-79A,1st,1,0.75,0.30461515253698035
F-44,ST-79A,1st,1,1.0,0.3046151546227054
F-44,ST-79A,1st,1,1.25,0.30461515400396705
F-44,ST-79A,1st,1,1.5,0.30461515253698035
F-44,ST-79A,1st,1,2.0,0.3046151546227054
F-44,ST-79A,2nd,2,0.5,1.4482392022001294
F-44,ST-79A,2nd,2,0.75,1.448239214871096
F-44,ST-79A,2nd,2,1.0,1.4482392022001294
F-44,ST-79A,2nd,2,1.25,1.448239221103471
F-44,ST-79A,2nd,2,1.5,1.448239214871096
F-44,ST-79A,2nd,2,2.0,1.4482392022001294
F-44,ST-79A,3rd,3,0.5,0.6003638228304424
F-44,ST-79A,3rd,3,0.75,0.6003638237586862
F-44,ST-79A,3rd,3,1.0,0.6003638228304424
F-44,ST-79A,3rd,3,1.25,0.6003638247517221
F-44,ST-79A,3rd,3,1.5,0.6003638237586862
F-44,ST-79A,3rd,3,2.0,0.6003638228304424
F-45,ST-79B,1st,1,0.5,0.37108544431605767
F-45,ST-79B,1st,1,0.75,0.37108544457433024
F-45,ST-79B,1st,1,1.0,0.37108544431605767
F-45,ST-79B,1st,1,1.25,0.3710854442741081
F-45,ST-79B,1st,1,1.5,0.37108544457433024
F-45,ST-79B,1st,1,2.0,0.37108544431605767
F-45,ST-79B,2nd,2,0.5,4.470910180573907
F-45,ST-79B,2nd,2,0.75,4.470910210442552
F-45,ST-79B,2nd,2,1.0,4.470910180573907
F-45,ST-79B,2nd,2,1.25,4.470910196205483
F-45,ST-79B,2nd,2,1.5,4.470910210442552
