pdf_page,path_index,n_items,n_line,n_rect,n_bezier,x0,y0,x1,y1,bbox_width,bbox_height,stroke_width,color,fill
44,17,1,1,0,0,201.375244140625,109.13932800292969,257.3897705078125,109.13932800292969,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,18,1,0,1,0,201.1129608154297,108.87733459472656,257.6451721191406,109.39442443847656,56.53221130371094,0.51708984375,,None,"(0.0, 0.0, 0.0)"
44,19,1,1,0,0,118.92035675048828,120.03291320800781,199.82217407226562,120.03291320800781,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,20,1,0,1,0,118.66151428222656,119.77090454101562,200.0775604248047,120.28800964355469,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,21,1,1,0,0,201.375244140625,120.03291320800781,257.3897705078125,120.03291320800781,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,22,1,0,1,0,201.1129608154297,119.77090454101562,257.6451721191406,120.28800964355469,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,23,1,1,0,0,118.92035675048828,130.92648315429688,199.82217407226562,130.92648315429688,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,24,1,0,1,0,118.66151428222656,130.66448974609375,200.0775604248047,131.18157958984375,81.41604614257812,0.51708984375,,None,"(0.0, 0.0, 0.0)"
44,25,1,1,0,0,201.375244140625,130.92648315429688,257.3897705078125,130.92648315429688,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,26,1,0,1,0,201.1129608154297,130.66448974609375,257.6451721191406,131.18157958984375,56.53221130371094,0.51708984375,,None,"(0.0, 0.0, 0.0)"
44,27,1,1,0,0,118.92035675048828,141.79937744140625,199.82217407226562,141.79937744140625,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,28,1,0,1,0,118.66151428222656,141.54083251953125,200.0775604248047,142.07516479492188,81.41604614257812,0.534332275390625,,None,"(0.0, 0.0, 0.0)"
44,29,1,1,0,0,201.375244140625,141.79937744140625,257.3897705078125,141.79937744140625,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,30,1,0,1,0,201.1129608154297,141.54083251953125,257.6451721191406,142.07516479492188,56.53221130371094,0.534332275390625,,None,"(0.0, 0.0, 0.0)"
44,31,1,1,0,0,118.92035675048828,152.69296264648438,199.82217407226562,152.69296264648438,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,32,1,0,1,0,118.66151428222656,152.4378662109375,200.0775604248047,152.9549560546875,81.41604614257812,0.51708984375,,None,"(0.0, 0.0, 0.0)"
44,33,1,1,0,0,201.375244140625,152.69296264648438,257.3897705078125,152.69296264648438,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,34,1,0,1,0,201.1129608154297,152.4378662109375,257.6451721191406,152.9549560546875,56.53221130371094,0.51708984375,,None,"(0.0, 0.0, 0.0)"
44,35,1,1,0,0,118.92035675048828,163.5865478515625,199.82217407226562,163.5865478515625,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,36,1,0,1,0,118.66151428222656,163.33143615722656,200.0775604248047,163.84854125976562,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,37,1,1,0,0,201.375244140625,163.5865478515625,257.3897705078125,163.5865478515625,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,38,1,0,1,0,201.1129608154297,163.33143615722656,257.6451721191406,163.84854125976562,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,39,1,1,0,0,118.92035675048828,174.48011779785156,199.82217407226562,174.48011779785156,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,40,1,0,1,0,118.66151428222656,174.22500610351562,200.0775604248047,174.7421112060547,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,41,1,1,0,0,201.375244140625,174.48011779785156,257.3897705078125,174.48011779785156,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,42,1,0,1,0,201.1129608154297,174.22500610351562,257.6451721191406,174.7421112060547,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,43,1,1,0,0,118.92035675048828,185.37644958496094,199.82217407226562,185.37644958496094,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,44,1,0,1,0,118.66151428222656,185.11790466308594,200.0775604248047,185.635009765625,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,45,1,1,0,0,201.375244140625,185.37644958496094,257.3897705078125,185.37644958496094,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,46,1,0,1,0,201.1129608154297,185.11790466308594,257.6451721191406,185.635009765625,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,47,1,1,0,0,118.92035675048828,196.25279235839844,199.82217407226562,196.25279235839844,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,48,1,0,1,0,118.66151428222656,195.99423217773438,200.0775604248047,196.51133728027344,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,49,1,1,0,0,201.375244140625,196.25279235839844,257.3897705078125,196.25279235839844,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,50,1,0,1,0,201.1129608154297,195.99423217773438,257.6451721191406,196.51133728027344,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,51,1,1,0,0,118.92035675048828,207.1463623046875,199.82217407226562,207.1463623046875,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,52,1,0,1,0,118.66151428222656,206.8878173828125,200.0775604248047,207.40492248535156,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,53,1,1,0,0,201.375244140625,207.1463623046875,257.3897705078125,207.1463623046875,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,54,1,0,1,0,201.1129608154297,206.8878173828125,257.6451721191406,207.40492248535156,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,55,1,0,1,0,72.51769256591797,217.78140258789062,258.6805725097656,218.8155975341797,186.16287994384766,1.0341949462890625,,None,"(0.0, 0.0, 0.0)"
44,56,1,1,0,0,118.92035675048828,229.45062255859375,199.82217407226562,229.45062255859375,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,57,4,4,0,0,118.66151428222656,229.19207763671875,200.0775604248047,229.7091827392578,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,58,1,1,0,0,201.375244140625,229.45062255859375,257.3897705078125,229.45062255859375,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,59,1,0,1,0,201.1129608154297,229.19207763671875,257.6451721191406,229.7091827392578,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,60,1,1,0,0,118.92035675048828,240.32696533203125,199.82217407226562,240.32696533203125,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,61,1,0,1,0,118.66151428222656,240.0684051513672,200.0775604248047,240.60275268554688,81.41604614257812,0.5343475341796875,,None,"(0.0, 0.0, 0.0)"
44,62,1,1,0,0,201.375244140625,240.32696533203125,257.3897705078125,240.32696533203125,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,63,1,0,1,0,201.1129608154297,240.0684051513672,257.6451721191406,240.60275268554688,56.53221130371094,0.5343475341796875,,None,"(0.0, 0.0, 0.0)"
44,64,1,0,1,0,71.48230743408203,64.2886962890625,72.51769256591797,251.99607849121094,1.0353851318359375,187.70738220214844,,None,"(0.0, 0.0, 0.0)"
44,65,1,0,1,0,117.6261215209961,65.32289123535156,118.66151428222656,251.99607849121094,1.0353927612304688,186.67318725585938,,None,"(0.0, 0.0, 0.0)"
44,66,1,0,1,0,200.0775604248047,65.32289123535156,201.1129608154297,251.99607849121094,1.035400390625,186.67318725585938,,None,"(0.0, 0.0, 0.0)"
44,67,1,0,1,0,257.6451721191406,65.32289123535156,258.6805725097656,251.99607849121094,1.035400390625,186.67318725585938,,None,"(0.0, 0.0, 0.0)"
44,68,1,0,1,0,72.51769256591797,250.9618682861328,392.4527587890625,251.99607849121094,319.93506622314453,1.034210205078125,,None,"(0.0, 0.0, 0.0)"
44,69,1,0,1,0,391.4173583984375,65.32289123535156,392.4527587890625,251.99607849121094,1.035400390625,186.67318725585938,,None,"(0.0, 0.0, 0.0)"
