figure_id,specimen_id,tube_id,soil_type,test_family,stage,stage_index,digitization_status,strain_confidence,sigma_c_net_kPa,matric_suction_kPa,gamma_d_g_cm3,degree_saturation,q_peak_source_kPa,q_peak_digitized_kPa,eps_peak_pct,eps50_pct,E_0p1_MPa,E50_MPa,lambda_mobilization,E_i_model_MPa,prepeak_nrmse,postpeak_available,postpeak_reason,residual_ratio_model,beta_softening_per_pct,postpeak_nrmse,terminal_strength_ratio,piecewise_total_nrmse,n_curve_points
F-27,ST-39B,ST-39,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,34.5,106.9,1.11,0.59,207.3,204.48351893095767,4.273567467652495,0.5459932081623723,22.036258775443933,18.983752627409174,6.966261665786128,38.64232999285243,0.023445241680479036,False,insufficient_postpeak,,,,0.9848502474766379,0.02301766363038492,309
F-28,ST-49A,ST-49,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,24.1,75.8,1.13,0.65,168.2,169.10574845679008,2.3670411985018727,0.7271432171628252,27.699428254582777,11.565809597749153,1.4899661161092839,17.693494350442766,0.029406401667846836,False,insufficient_postpeak,,,,0.984111854606569,0.029406401667846836,159
F-28,ST-49A,ST-49,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,24.1,120.7,1.13,0.62,202.7,201.62010119595217,2.411985018726591,0.5556842296211381,26.587095134558798,18.23877565665302,2.8786560593800843,32.59570756585461,0.0396242571785022,True,fitted,0.6658027064400769,0.11976391413803043,0.005752528521104035,0.8780133162497993,0.02450067741444762,439
F-29,ST-49B,ST-49,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,24.1,27.6,1.12,0.9,111.7,107.67171253822627,2.317757009345794,0.8384165631770263,19.03566513761468,6.6613664916597815,0.8026491123809197,8.687533034784483,0.04089145993289669,False,insufficient_postpeak,,,,0.9371213303436737,0.04089145993289668,156
F-29,ST-49B,ST-49,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,24.1,89.6,1.12,0.69,169.6,171.20275229357796,2.332710280373832,0.5800621844321366,20.671234709480142,14.619122272729543,2.270240188178077,23.776323214304963,0.0244310880893516,False,insufficient_postpeak,,,,1.0001550689515895,0.024171627615686194,161
F-29,ST-49B,ST-49,MH,multistage,3rd,3,USABLE_REVIEW_X,template_axis,24.1,137.9,1.13,0.58,206.2,206.2,3.0205607476635516,0.7327102803738317,17.065099388379206,14.071045918367348,2.688521864717334,25.17986797958057,0.043243951897504754,True,fitted,6.2691125773890725e-16,0.07465947030904206,0.019018812557746845,0.8516819571865443,0.034764099657428056,362
F-30,ST-51,ST-51,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,41.4,44.8,1.08,0.76,159.3,158.53198757763977,2.224677716390423,0.1702781206000909,67.18885221548395,46.776414796744874,5.657304106068023,47.67021021891337,0.07497659968163252,False,insufficient_postpeak,,,,0.9951788297403625,0.07241380069856942,163
F-30,ST-51,ST-51,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,41.4,89.6,1.09,0.72,200.0,200.9736220472441,4.876611418047882,0.3543488884250898,26.799083529979974,28.220774289557347,12.216873697615231,54.20515421302924,0.030290145316013987,False,hardening_or_truncated,,,,0.997066339194014,0.029261328204768195,356
F-31,ST-52,ST-52,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,62.1,31.0,1.19,0.91,215.5,214.1742086330935,3.4327808471454877,1.2271656464166718,28.834479978663335,8.780395728533504,0.8348914135744603,11.518914758397846,0.02635869146209974,False,insufficient_postpeak,,,,0.9750622332259434,0.026358691462099737,234
F-31,ST-52,ST-52,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,62.1,62.1,1.2,0.86,266.3,267.9587308730873,2.327808471454881,0.5091439876778955,30.51645114907172,26.151737666052128,2.893835924631728,44.545267338139226,0.025268776567975715,False,insufficient_postpeak,,,,0.9989897492276534,0.02504805924555652,162
