figure_id,specimen_id,tube_id,soil_type,test_family,family_normalized,protocol_group,stage,stage_index,strain_confidence,q_peak_kPa,eps_peak_pct,q0_kPa,q0_over_qpeak,delta_q_peak_kPa,lambda_phase5a,lambda_absolute_recomputed,lambda_incremental,absolute_prepeak_nrmse,incremental_prepeak_nrmse,lambda_change_after_q0_reset,lambda_scale_max_abs_diff,n_prepeak_points,n_q0_points
F-30,ST-51,ST-51,MH,multistage,multistage,multistage_later,2nd,2,template_axis,200.0,4.876611418047882,29.958800802073657,0.1497940040103683,170.04119919792635,12.216873697615233,12.216873697615231,9.307089453081057,0.030290145316013987,0.04588820435076342,-2.9097842445341744,1.4167133244313845e-08,332,17
F-31,ST-52,ST-52,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,215.5,3.4327808471454877,28.145305544942985,0.13060466610182359,187.35469445505703,0.8348914135744603,0.8348914135744603,0.34406655141942066,0.02635869146209974,0.020871779731884754,-0.4908248621550396,5.152070992053837e-10,234,12
F-31,ST-52,ST-52,MH,multistage,multistage,multistage_later,2nd,2,template_axis,266.3,2.327808471454881,20.048710799137467,0.07528618399976518,246.25128920086254,2.893835924631728,2.893835924631728,2.3808608062477505,0.025268776567975715,0.03683983710329066,-0.5129751183839772,4.465567027267525e-09,159,8
F-32,ST-57,ST-57,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,318.4,3.020257826887661,31.157780979827088,0.09785735232357755,287.2422190201729,0.7670144749911346,0.7670144749911346,0.4063616006583638,0.019080910662926796,0.027264701273090837,-0.3606528743327708,4.454717705826283e-10,206,11
F-32,ST-57,ST-57,ML,multistage,multistage,multistage_later,2nd,2,template_axis,366.5,1.561694290976059,16.23901296829971,0.04430835734870317,350.26098703170027,1.0882572405101605,1.0882572405101605,0.9209772452151316,0.04515527748039182,0.054536963809321416,-0.1672799952950289,4.1075338685914176e-09,107,6
F-32,ST-57,ST-57,ML,multistage,multistage,multistage_later,3rd,3,template_axis,377.8,1.1639042357274405,20.595821325648416,0.054515143794728466,357.2041786743516,0.363409368061785,0.36340936806178503,0.20006070646266533,0.014458991654137889,0.024343372702472846,-0.1633486615991197,1.258952220251075e-09,80,5
F-33,ST-59A,ST-59,SC,multistage,multistage,multistage_stage1,1st,1,template_axis,136.5,2.5018726591760303,10.630311740890688,0.07787774169150688,125.86968825910931,0.5971660063513222,0.5971660063513222,0.3259630184490927,0.02733575515357022,0.019193514471010305,-0.2712029879022295,1.3061850490103666e-09,168,9
F-33,ST-59A,ST-59,SC,multistage,multistage,multistage_later,2nd,2,template_axis,252.4,2.1872659176029967,28.74121322537112,0.11387168472809477,223.65878677462888,4.346558774498098,4.346558774498098,3.5082118506941513,0.04523036598541561,0.06569082048142534,-0.8383469238039463,7.176772021111333e-08,147,8
F-35,ST-62,ST-62,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,174.4,2.339622641509434,33.455123366917086,0.19182983581947868,140.9448766330829,2.444090507019552,2.444090507019552,1.277211164963599,0.036708193986136256,0.043024384287660075,-1.1668793420559531,1.2985665431841653e-08,156,8
F-35,ST-62,ST-62,ML,multistage,multistage,multistage_later,2nd,2,template_axis,218.6,1.6905660377358491,18.455291059214826,0.08442493622696627,200.14470894078516,2.5206470266803382,2.5206470266803382,2.093446061646205,0.055671156210798885,0.0730477176894454,-0.4272009650341331,2.9893543640469034e-08,113,6
F-36,ST-64,ST-64,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,237.9,2.3547169811320754,33.59482730680345,0.14121407022615995,204.30517269319654,1.877808970267375,1.877808970267375,1.1100843005569578,0.03239308819413617,0.03244334374131217,-0.7677246697104172,8.873548562604583e-09,157,8
F-36,ST-64,ST-64,ML,multistage,multistage,multistage_later,2nd,2,template_axis,257.9,0.9811320754716985,27.33138492756891,0.1059766767257422,230.56861507243107,1.5614651664373538,1.5614651664373538,1.1532933196660837,0.0564516364157612,0.08006905628686734,-0.40817184677127005,4.173780787652959e-08,66,5
F-37,ST-81,ST-81,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,150.1,2.590909090909091,21.011815997680294,0.13998544968474547,129.0881840023197,2.0879595144460916,2.0879595144460916,1.3417442176420071,0.03820335121749804,0.05653473250972834,-0.7462152968040845,4.3407710093035234e-08,172,9
F-37,ST-81,ST-81,ML,multistage,multistage,multistage_later,2nd,2,template_axis,163.6,1.8333333333333333,18.33758487070281,0.11208792708253551,145.26241512929718,2.8101903466204847,2.8101903466204847,2.147914639112247,0.05631309693462766,0.07630325133941797,-0.6622757075082379,1.64166338301186e-08,122,7
F-37,ST-81,ST-81,ML,multistage,multistage,multistage_later,3rd,3,template_axis,199.6,2.454545454545454,15.281320725585667,0.07655972307407649,184.31867927441434,1.9766773456262745,1.9766773456262743,1.5803835465067384,0.036703778263954566,0.050784630349747305,-0.3962937991195359,1.555583795109783e-08,163,9
F-37,ST-81,ST-81,ML,multistage,multistage,multistage_later,4th,4,template_axis,236.9,2.333333333333333,17.000469307214058,0.07176221742175626,219.89953069278596,3.122536890156355,3.122536890156355,2.655236230185773,0.040638128595396034,0.05249730002877303,-0.467300659970582,7.213945885098383e-09,155,8
F-38,ST-30,ST-30,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,133.6,1.696060037523452,24.646896551724137,0.18448275862068966,108.95310344827585,1.6491763454832764,1.6491763454832764,0.7391334684085601,0.04449854075145999,0.01702940629002077,-0.9100428770747163,4.1574521603138237e-10,114,6
F-38,ST-30,ST-30,ML,multistage,multistage,multistage_later,2nd,2,template_axis,196.2,1.425891181988743,33.4,0.17023445463812437,162.79999999999998,3.2244432717467917,3.2244432717467917,2.059026220047052,0.027671855539625617,0.04436642992345765,-1.1654170516997397,5.9570997024138705e-09,96,5
F-38,ST-30,ST-30,ML,multistage,multistage,multistage_later,3rd,3,template_axis,311.9,4.352720450281426,35.01241379310345,0.11225525422604504,276.8875862068965,6.9593164574219495,6.9593164574219495,5.707508693840937,0.02193761686260155,0.040419035930079034,-1.251807763581012,8.248715488434755e-09,291,15
F-39,ST-83,ST-83,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,161.7,2.4842883548983363,61.765915768854065,0.38197845249755147,99.93408423114593,5.858299354618212,5.858299354618212,1.6545473673716278,0.07389478590121307,0.034190074948014154,-4.203751987246584,3.154844385733213e-09,169,9
F-39,ST-83,ST-83,ML,multistage,multistage,multistage_later,2nd,2,template_axis,190.9,3.4750462107208873,27.557100881488736,0.14435359288364974,163.34289911851127,8.57722857627614,8.57722857627614,6.986752775654692,0.04325282076438657,0.06783441628370293,-1.5904758006214479,2.1291016061297796e-08,236,12
F-39,ST-83,ST-83,ML,multistage,multistage,multistage_later,3rd,3,template_axis,217.4,2.410351201478743,18.371400587659156,0.08450506250073209,199.02859941234084,2.547331618927098,2.5473316189270974,2.000498154414083,0.0333255784627595,0.04636763491214461,-0.5468334645130142,1.2539581817350154e-08,164,9
F-40,ST-74,ST-74,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,272.0,3.625468164794007,34.43093278463649,0.12658431170822237,237.5690672153635,1.1040411088271778,1.1040411088271778,0.5692398609427861,0.02444096244967272,0.023973751721515196,-0.5348012478843917,1.4252322655394778e-09,243,13
F-40,ST-74,ST-74,ML,multistage,multistage,multistage_later,2nd,2,template_axis,321.7,2.1573033707865172,20.048391241687067,0.06232014685013077,301.65160875831293,2.591537319871672,2.591537319871672,2.2732728226597905,0.06146861886670707,0.07412826821764074,-0.31826449721188155,1.0271626660340871e-08,145,8
F-41,ST-87,ST-87,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,318.0,4.584103512014787,44.86420545746388,0.141082407098943,273.13579454253613,0.9748019156223556,0.9748019156223555,0.41532494929904995,0.030051513519842248,0.019708245639485505,-0.5594769663233056,1.1363749941040169e-09,311,16
F-41,ST-87,ST-87,ML,multistage,multistage,multistage_later,2nd,2,template_axis,388.2,2.484288354898336,19.316532905296953,0.04975922953451044,368.88346709470306,2.2698644913442263,2.2698644913442263,2.0065793129149023,0.04545048677256739,0.05460426929343704,-0.263285178429324,4.609077564055042e-10,169,9
F-41,ST-87,ST-87,ML,multistage,multistage,multistage_later,3rd,3,template_axis,443.3,2.853974121996303,33.648154093097915,0.07590379899187438,409.6518459069021,3.387075528012156,3.387075528012156,2.8956178355463114,0.05161261396441777,0.06465312408617249,-0.4914576924658447,5.133383051969531e-09,194,10
F-42,ST-34A,ST-34,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,253.3,3.191176470588235,26.869767441860468,0.10607882922171523,226.43023255813955,0.8394293125089781,0.8394293125089781,0.43310963242420647,0.029792607713467246,0.03813270331394518,-0.40631968008477165,1.4617860255583537e-09,218,11
F-42,ST-34A,ST-34,ML,multistage,multistage,multistage_later,2nd,2,template_axis,316.1,2.235294117647059,24.081395348837212,0.07618283881315156,292.01860465116283,1.8758311226981628,1.8758311226981628,1.4910303138857928,0.043189161421960644,0.05685763154982619,-0.38480080881237,3.064938880470436e-08,153,8
F-42,ST-34A,ST-34,ML,multistage,multistage,multistage_later,3rd,3,template_axis,351.2,1.9705882352941175,17.23720930232558,0.04908089209090428,333.9627906976744,1.6050854626952324,1.6050854626952324,1.3636769447584094,0.03907575955512536,0.04759111029695904,-0.24140851793682305,1.521656600722565e-08,135,7
F-43,ST-34B,ST-34,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,173.4,2.4261036468330137,40.759534883720924,0.23506075480807914,132.64046511627907,3.9567450278405656,3.9567450278405656,1.8603766442786625,0.057477604352157895,0.039724747060596824,-2.096368383561903,4.166320599630069e-08,159,8
F-43,ST-34B,ST-34,ML,multistage,multistage,multistage_later,2nd,2,template_axis,254.0,3.777351247600768,26.426511627906976,0.10404138436183849,227.57348837209304,7.373968690134767,7.373968690134767,6.3437287656195185,0.043561112137353634,0.06156680858826576,-1.0302399245152483,2.401081999892085e-08,247,13
F-43,ST-34B,ST-34,ML,multistage,multistage,multistage_later,3rd,3,template_axis,288.9,3.408829174664107,23.96302325581395,0.08294573643410852,264.93697674418604,5.5596230439567575,5.5596230439567575,4.960496708747291,0.06277002858088422,0.079914738959233,-0.5991263352094665,1.4715173080048771e-08,223,12
F-44,ST-79A,ST-79,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,319.5,3.756906077348066,28.48663017982799,0.08916003186174645,291.013369820172,0.6177995977893,0.6177995977893,0.3046151546227054,0.02929331859159081,0.03558181934431329,-0.31318444316659466,2.0857250371264513e-09,256,13
F-44,ST-79A,ST-79,ML,multistage,multistage,multistage_later,2nd,2,template_axis,357.2,2.1510128913443833,21.504612978889757,0.060203283815480846,335.6953870211102,1.7422327959612514,1.7422327959612514,1.4482392022001294,0.051987972767118834,0.06302433635430918,-0.293993593761122,1.8903341558740294e-08,147,8
F-44,ST-79A,ST-79,ML,multistage,multistage,multistage_later,3rd,3,template_axis,383.5,1.9152854511970536,19.54964816262705,0.050976918285859325,363.950351837373,0.792674685525182,0.792674685525182,0.6003638228304424,0.03804186120297693,0.04740479151514655,-0.19231086269473963,1.921279690897393e-09,131,7
F-45,ST-79B,ST-79,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,288.6,3.285171102661597,42.759785522788206,0.14816280499926612,245.84021447721182,0.9558105466274732,0.9558105466274733,0.37108544431605767,0.039254112823137094,0.011658710246005418,-0.5847251023114157,2.5827256999733095e-10,217,11
F-45,ST-79B,ST-79,ML,multistage,multistage,multistage_later,2nd,2,template_axis,374.9,2.7528517110266155,25.467225201072388,0.06793071539363134,349.4327747989276,4.966015388666184,4.966015388666184,4.470910180573907,0.054434807822987555,0.06738749225886545,-0.4951052080922773,2.986864533482958e-08,182,10
F-45,ST-79B,ST-79,ML,multistage,multistage,multistage_later,3rd,3,template_axis,469.1,3.7110266159695815,20.122252010723862,0.04289544235924933,448.97774798927617,4.633469921988288,4.633469921988288,4.351672548275044,0.05777353737559776,0.06646653876106258,-0.2817973737132444,1.873337751590043e-08,245,13
F-46,ST-80A,ST-80,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,409.1,4.285714285714286,24.775925925925925,0.06056202866273753,384.3240740740741,0.8578195921316184,0.8578195921316184,0.6175199042272934,0.010500445479877475,0.01658746582026945,-0.240299687904325,6.434929256116106e-10,286,15
F-46,ST-80A,ST-80,ML,multistage,multistage,multistage_later,2nd,2,template_axis,500.6,2.5112781954887216,36.43518518518518,0.07278303073349017,464.16481481481486,2.0571599585960754,2.0571599585960754,1.6856383726779915,0.04142081932870233,0.0549507359025068,-0.3715215859180838,4.168643830126939e-08,168,9
F-46,ST-80A,ST-80,ML,multistage,multistage,multistage_later,3rd,3,template_axis,550.9,2.571428571428571,34.24907407407407,0.06216931216931217,516.6509259259259,2.1624908445117144,2.1624908445117144,1.824511273376009,0.05136794917158558,0.062275614794447175,-0.3379795711357054,8.860441602642766e-08,172,9
F-47,ST-80B,ST-80,ML,multistage,multistage,multistage_stage1,1st,1,template_axis,234.3,3.575091575091575,30.114871892302684,0.1285312500738484,204.18512810769732,1.2102026607822007,1.2102026607822007,0.6445204579206063,0.02761111673368408,0.014470496027121244,-0.5656822028615944,7.742607666116896e-10,245,13
F-47,ST-80B,ST-80,ML,multistage,multistage,multistage_later,2nd,2,template_axis,297.9,1.3772893772893773,38.2227220171534,0.1283072239582189,259.6772779828466,0.963619005993249,0.963619005993249,0.4451784730914359,0.029415747874802684,0.026331989026984526,-0.5184405329018131,2.420974531958109e-10,95,5
F-47,ST-80B,ST-80,ML,multistage,multistage,multistage_later,3rd,3,template_axis,389.9,2.578754578754579,27.02616708283574,0.06931563755536226,362.87383291716424,2.8412470777208414,2.8412470777208414,2.4522980266935797,0.0534608427086756,0.0663842942471429,-0.38894905102726174,7.164738580200947e-09,177,9
F-47,ST-80B,ST-80,ML,multistage,multistage,multistage_later,4th,4,template_axis,468.8,1.655677655677656,24.130506323960482,0.05147292304599079,444.6694936760395,0.9235575304172198,0.9235575304172198,0.7225674098926851,0.029392762383794322,0.038874030777178506,-0.2009901205245347,1.9609591728197984e-10,114,6
