x_norm,stage1_mean,stage1_p025,stage1_p975,stage2_mean,stage2_p025,stage2_p975,delta_mean,delta_p025,delta_p975
0.17500000000000002,0.2598771657665762,0.23562105,0.2872436,0.3918041111793499,0.3318002,0.45881468,0.13192694541277364,0.08147078,0.18373048
0.18,0.2675003365886805,0.24345309,0.29480413,0.4004742703787507,0.34060147,0.4670618,0.13297393379007025,0.08290632,0.18432978
0.185,0.2749282548984773,0.25052816,0.30294606,0.41046286376552327,0.35153076,0.47618917,0.135534608867046,0.08690728,0.18548009
0.19,0.2826454354532824,0.25835213,0.31061247,0.4204388664017896,0.36176276,0.4856525,0.13779343094850727,0.090266146,0.18638985
0.195,0.2885603270477623,0.26422375,0.31657848,0.43149654387299924,0.372105,0.49674663,0.14293621682523694,0.0952504,0.19182752
0.2,0.29393531313526694,0.26948965,0.32181412,0.4393065195663468,0.37995854,0.504558,0.1453712064310798,0.09767297,0.19442967
0.20500000000000002,0.3000195661408251,0.27571952,0.32780886,0.44965605677509274,0.38948584,0.51585287,0.1496364906342678,0.101139374,0.19948567
0.21,0.30611298857174307,0.28203595,0.33375403,0.4603072688807909,0.40016973,0.52585864,0.1541942803090478,0.10558852,0.20368941
0.215,0.31337223542443804,0.28939033,0.3407932,0.4701565833171226,0.40956783,0.536409,0.15678434789268467,0.10755293,0.2069915
0.22,0.3194861062621899,0.29530406,0.34683737,0.47666491201076966,0.41745928,0.54159325,0.15717880574857993,0.10872497,0.20642366
0.225,0.32592542607048725,0.30146924,0.3531521,0.485287276593344,0.4260393,0.55033726,0.15936185052285678,0.11002314,0.2092016
0.23,0.33357182243868017,0.30805224,0.36188957,0.49219536460957397,0.43351254,0.5563281,0.15862354217089375,0.109628886,0.2081261
0.23500000000000001,0.34109763865872844,0.3149931,0.37044767,0.5007147578000495,0.4418545,0.5651026,0.15961711914132107,0.111197785,0.2084082
0.24,0.3488488602342088,0.32250747,0.3788678,0.5080343258493873,0.44991365,0.5720494,0.15918546561517866,0.11112907,0.20726825
0.245,0.35512490200869123,0.3284256,0.38562405,0.516455287479415,0.45918885,0.5796189,0.1613303854707237,0.11389314,0.20848641
0.25,0.3610188422045617,0.3341292,0.39174795,0.5234112888619716,0.4667498,0.5851682,0.16239244665740993,0.11541507,0.2088447
0.255,0.36729072310332667,0.34036714,0.398094,0.5295612262153168,0.47367957,0.5902902,0.1622705031119901,0.11573534,0.2080766
0.26,0.37337575442252185,0.3460618,0.40450275,0.5382500583413408,0.48317268,0.59796774,0.16487430391881885,0.11930308,0.20991583
0.265,0.3789587596210132,0.3517744,0.40999532,0.5466161002301567,0.49226072,0.60540164,0.16765734060914358,0.12285806,0.2121117
0.27,0.38564194974131755,0.35883364,0.41610065,0.5545938250647571,0.49953097,0.614015,0.16895187532343958,0.123685405,0.21386108
0.275,0.3921020620096216,0.3654656,0.4225622,0.5615575063607252,0.5065078,0.6202667,0.16945544435110355,0.12410318,0.21404245
0.28,0.3981519703708554,0.37152088,0.42875543,0.568505038270271,0.51305676,0.627403,0.17035306789941565,0.1254612,0.21436056
0.28500000000000003,0.4054339633619196,0.37837687,0.4367353,0.5760569257512443,0.5203855,0.6352564,0.17062296238932464,0.12526202,0.21495172
0.29,0.41231745227567834,0.38445878,0.44440502,0.5819147358777358,0.5268186,0.6402259,0.16959728360205747,0.12474984,0.21329544
0.295,0.4185661026589946,0.39030823,0.45097733,0.5898418954286352,0.5351186,0.6481173,0.17127579276964056,0.12689051,0.21457319
0.3,0.42548879309385046,0.39698428,0.4578416,0.596882001119239,0.5423308,0.65522915,0.1713932080253885,0.12731653,0.21438369
0.305,0.43230019462319114,0.40339443,0.46446952,0.6030576665469567,0.5491175,0.66095865,0.17075747192376556,0.12677129,0.2136504
0.31,0.4385521664216785,0.40950936,0.47061092,0.612188278206214,0.5593525,0.6690278,0.17363611178453556,0.12981637,0.21608035
0.315,0.4453778294083786,0.41628638,0.47713855,0.6217857259455457,0.5690971,0.678044,0.1764078965371669,0.13273934,0.21889037
0.32,0.45190292609787147,0.42283195,0.4833351,0.6279769636962856,0.5759773,0.6832998,0.17607403759841422,0.13212198,0.21904448
0.325,0.4570597701776536,0.4278305,0.4885898,0.6341724949461778,0.5827014,0.6891085,0.17711272476852435,0.13331889,0.22000742
0.33,0.46241150741447057,0.43292683,0.49443248,0.6406736555334633,0.58990234,0.6947772,0.17826214811899269,0.13528715,0.22047697
0.335,0.4695806182386031,0.439133,0.5026198,0.6452697142228575,0.59455913,0.69898295,0.1756890959842545,0.13300666,0.21728227
0.34,0.4768522924471037,0.44608116,0.5103848,0.6511077600865939,0.6005693,0.70424753,0.17425546763949018,0.13238902,0.21471009
0.34500000000000003,0.48320114145154913,0.45220605,0.5171481,0.6577854596661638,0.60812426,0.7097159,0.17458431821461462,0.13284607,0.21448518
0.35000000000000003,0.4900067128548236,0.45878154,0.523768,0.6636455469934129,0.61510533,0.7142616,0.17363883413858927,0.1318544,0.2134395
0.355,0.4965897163465547,0.46528217,0.5303368,0.6690124628780548,0.6216751,0.71834695,0.1724227465315,0.13153578,0.21146613
0.36,0.5021750094408415,0.4710709,0.5356615,0.6759571019051598,0.6290731,0.7244176,0.17378209246431844,0.13282934,0.21286954
0.365,0.5071559877148135,0.4764583,0.54024357,0.6810578180752818,0.63417923,0.72928464,0.17390183036046805,0.13245407,0.21339276
0.37,0.5113995633879277,0.48122132,0.5440506,0.6862529719974453,0.6394991,0.7339124,0.1748534086095174,0.13312398,0.21500851
0.375,0.5159535386510328,0.4862816,0.5480768,0.6926284063859719,0.6472923,0.7389115,0.1766748677349391,0.13586491,0.21608962
0.38,0.5216124879997,0.4919588,0.5537184,0.6994385958466162,0.6551753,0.7441453,0.1778261078469162,0.137923,0.216505
0.385,0.5289060186154122,0.49943098,0.5609017,0.7056848093237985,0.6622049,0.749751,0.17677879070838629,0.13729787,0.21532093
0.39,0.5345840632522312,0.50559574,0.56609577,0.711132401930455,0.6682571,0.754772,0.17654833867822395,0.13738753,0.21478991
0.395,0.5398109894011885,0.5109911,0.57098126,0.7151744895875906,0.6728105,0.75818,0.17536350018640198,0.13629603,0.21363737
0.4,0.5448848248942488,0.5160017,0.5758896,0.7201118016479573,0.6775375,0.7635622,0.17522697675370857,0.13651225,0.21302998
0.405,0.5493647098181217,0.5208388,0.5798798,0.7261332527866089,0.68424463,0.7686489,0.17676854296848732,0.13816047,0.2144022
0.41000000000000003,0.5549290159849481,0.5263993,0.5852024,0.7327460977919021,0.6917137,0.77431715,0.17781708180695383,0.13935493,0.21521522
0.41500000000000004,0.5607294228311644,0.532183,0.5903804,0.7389514979646122,0.6984839,0.78015494,0.17822207513344773,0.14081281,0.21485312
0.42,0.5674085486817922,0.5390168,0.5962595,0.7447251396737805,0.70503116,0.7853239,0.17731659099198827,0.13982709,0.2137283
0.425,0.572837927766025,0.5444205,0.60146964,0.7508372745475794,0.71147186,0.7907443,0.17799934678155438,0.14075936,0.21399094
0.43,0.5782021861876238,0.55002564,0.60644823,0.7563015873909783,0.71732,0.79562175,0.17809940120335466,0.14143702,0.21371688
0.435,0.5836399812170049,0.5559686,0.61130464,0.7604501371509176,0.72136605,0.799436,0.17681015593391278,0.13933985,0.21323293
0.44,0.5898502280939592,0.5626406,0.61677134,0.7639428780220371,0.72503126,0.8025975,0.17409264992807805,0.13550344,0.21158363
0.445,0.5952913569544467,0.56828225,0.6220531,0.7675181879458922,0.7288408,0.8058816,0.17222683099144573,0.1326145,0.21046765
0.45,0.5998198195008493,0.572756,0.62657964,0.7720906682667119,0.73403645,0.8096906,0.17227084876586268,0.1328698,0.21061693
0.455,0.6045469228457541,0.577516,0.63128424,0.7781907742294091,0.7409372,0.8148217,0.17364385138365515,0.1348776,0.211938
0.46,0.6100270538422387,0.5825383,0.6371479,0.7828782068144583,0.7461024,0.8191565,0.17285115297221967,0.13303687,0.21257341
0.465,0.6148527506696514,0.5873228,0.64196306,0.786973661590808,0.75125396,0.8219839,0.17212091092115658,0.13227144,0.21151757
0.47000000000000003,0.6192246789968026,0.59223807,0.645871,0.7927547037518463,0.757765,0.8268414,0.17353002475504373,0.13374178,0.21287969
0.47500000000000003,0.62397585117186,0.5970991,0.6504596,0.7975102986176013,0.76280636,0.8313432,0.17353444744574117,0.13385601,0.21275753
0.48,0.6300780471248458,0.60304683,0.65693784,0.8010297958396646,0.76620907,0.83483297,0.1709517487148186,0.13089517,0.21040511
0.485,0.6346532421307853,0.6074938,0.6616503,0.8059561195131502,0.771033,0.83946025,0.17130287738236472,0.1314947,0.21086964
0.49,0.6392858197433072,0.6124082,0.6660756,0.8115670311044031,0.77725625,0.8446597,0.17228121136109575,0.13287999,0.21155085
0.495,0.644148177676461,0.61720663,0.6708564,0.816851957861476,0.7822584,0.8501055,0.172703780185015,0.13298924,0.21249856
0.5,0.6493825234800595,0.6227541,0.67580783,0.8205372114004335,0.786083,0.8533619,0.1711546879203737,0.13214546,0.21001753
0.505,0.6535051942795455,0.6272935,0.67957556,0.8280178236833877,0.7937852,0.86007255,0.17451262940384243,0.13636807,0.21262684
0.51,0.6578338871435201,0.6320797,0.6835353,0.8323253139311826,0.7990606,0.8634939,0.17449142678766238,0.13719825,0.21169278
0.515,0.6629572198559023,0.63727975,0.688765,0.8347296473462962,0.8017678,0.86557347,0.17177242749039387,0.13388239,0.2094117
0.52,0.668450642866468,0.64271116,0.69445974,0.8371655590725848,0.80444634,0.86771053,0.16871491620611698,0.13028151,0.20677325
0.525,0.6729865930931986,0.6472454,0.6989057,0.8402806910556297,0.8083755,0.87048733,0.1672940979624312,0.12920277,0.2051658
0.53,0.6772519337617385,0.6516603,0.7030223,0.8452488575792962,0.8146576,0.8741138,0.16799692381755782,0.13047358,0.20542435
0.535,0.6816692953304101,0.65645117,0.70719856,0.8506365681721917,0.8211837,0.87843126,0.1689672728417816,0.13282627,0.20477302
0.54,0.6874441021071048,0.6625785,0.7128553,0.8543218195858198,0.82515585,0.88163954,0.16687771747871483,0.13137984,0.20203868
0.545,0.6935235579064898,0.668481,0.7191857,0.8567939892331806,0.8279185,0.8837956,0.1632704313266907,0.12776834,0.19845323
0.55,0.6988230049827139,0.6740612,0.72423214,0.8606420120838183,0.8325428,0.8869078,0.16181900710110458,0.12698518,0.19656906
0.555,0.702493471753012,0.6779465,0.7277941,0.8635889485462989,0.8357202,0.88944244,0.16109547679328698,0.12724438,0.19475202
0.56,0.7070195224197126,0.6826744,0.7321601,0.8659985056871,0.83824354,0.8917541,0.1589789832673875,0.12556162,0.19195533
0.5650000000000001,0.7123161126246649,0.6886703,0.7370129,0.8682142277036462,0.84092104,0.89333564,0.15589811507898144,0.123059094,0.18823867
