figure_id,specimen_id,status,n_stages,x_max_pct,x_method,n_major_ticks,x_tick_spacing_cv,rect_method,stress_per_pixel_kPa,y_scale_cv_across_stages,peak_error_mean_abs_pct,peak_error_max_abs_pct,stage_peak_errors_pct,individual_stress_per_pixel,output_csv
F-12,ST-54,PASS,1,12.0,tick_spacing,5,0.00558659217877095,detected_frame,0.7726247987117553,,0.0,0.0,+0.00,0.772625,data/processed/stress_strain_curves_v2/F_12_ST_54.csv
F-13,ST-59B,PASS,1,12.0,tick_spacing,5,0.004771489828013436,detected_frame,0.5211309523809524,,1.6231701559339812e-14,1.6231701559339812e-14,+0.00,0.521131,data/processed/stress_strain_curves_v2/F_13_ST_59B.csv
F-14,ST-60,PASS,1,12.0,tick_spacing,5,0.0,detected_frame,0.5068017366136035,,1.6231701559339812e-14,1.6231701559339812e-14,+0.00,0.506802,data/processed/stress_strain_curves_v2/F_14_ST_60.csv
F-15,ST-114B,PASS,1,12.0,tick_spacing,5,0.004962896296758961,detected_frame,1.029051987767584,,0.0,0.0,+0.00,1.029052,data/processed/stress_strain_curves_v2/F_15_ST_114B.csv
F-16,ST-116E,PASS,1,12.0,tick_spacing,5,0.005714285714285714,detected_frame,1.1942161339421613,,0.0,0.0,+0.00,1.194216,data/processed/stress_strain_curves_v2/F_16_ST_116E.csv
F-17,ST-65A,USABLE_REVIEW_X,1,12.0,template_fallback,0,,detected_frame,1.322657580919932,,0.0,0.0,+0.00,1.322658,data/processed/stress_strain_curves_v2/F_17_ST_65A.csv
F-18,ST-65B,PASS,1,12.0,tick_spacing,5,0.004962896296758961,detected_frame,1.328110599078341,,0.0,0.0,+0.00,1.328111,data/processed/stress_strain_curves_v2/F_18_ST_65B.csv
F-19,ST-75,PASS,1,12.0,tick_spacing,5,0.004824654060080438,detected_frame,0.9118314424635333,,0.0,0.0,+0.00,0.911831,data/processed/stress_strain_curves_v2/F_19_ST_75.csv
F-20,ST-77,PASS,1,12.0,tick_spacing,5,0.005649717514124294,detected_frame,0.895886524822695,,0.0,0.0,+0.00,0.895887,data/processed/stress_strain_curves_v2/F_20_ST_77.csv
F-21,ST-85,PASS,1,12.0,tick_spacing,5,0.004851682934366603,detected_frame,0.9226256983240224,,0.0,0.0,+0.00,0.922626,data/processed/stress_strain_curves_v2/F_21_ST_85.csv
F-22,ST-37A,USABLE_REVIEW_X,2,8.0,template_fallback,0,,detected_frame,0.595948267810926,0.007434511215418253,0.5257138581398592,0.5284775323673233,+0.53;-0.52,0.592815;0.599081,data/processed/stress_strain_curves_v2/F_22_ST_37A.csv
