figure_id,specimen_id,tube_id,soil_type,stage_index,q0_fraction,q0_kPa,q0_over_qpeak,y25,y50,y75,mean_y_10_90
F-30,ST-51,ST-51,MH,2,0.02,18.724250501296037,0.09362125250648018,0.8056739763260682,0.9003578838002856,0.9399529723804129,0.8691372152647356
F-30,ST-51,ST-51,MH,2,0.05,29.958800802073657,0.1497940040103683,0.7928349379164784,0.8937745712160301,0.9359856905958425,0.8604911662804723
F-30,ST-51,ST-51,MH,2,0.1,77.08149789700201,0.38540748948501,0.7134150271447565,0.853051420358143,0.9114448211564681,0.8070083105593423
F-30,ST-51,ST-51,MH,2,0.15,103.91959028219298,0.5195979514109649,0.6333633912255666,0.8120043477250853,0.8867087477157931,0.753100039289528
F-31,ST-52,ST-52,MH,1,0.02,22.747575714405976,0.10555719589051497,0.3190391253597464,0.5920726088180872,0.8336022288004659,0.5705656856025016
F-31,ST-52,ST-52,MH,1,0.05,28.145305544942985,0.13060466610182359,0.299420493239717,0.5803201312274926,0.8288082725243712,0.5581935888380108
F-31,ST-52,ST-52,MH,1,0.1,34.699691767737924,0.16101945135841264,0.2740230328483155,0.5651058654070318,0.8226022172858962,0.5421771899569723
F-31,ST-52,ST-52,MH,1,0.15,39.32631733676965,0.18248871153953433,0.25495762223773777,0.5536847933574905,0.8179434447326567,0.5301539712388845
F-31,ST-52,ST-52,MH,2,0.02,18.892054406879538,0.07094275030747103,0.5049105842756333,0.80100012443727,0.9467073455168122,0.7411199592510408
F-31,ST-52,ST-52,MH,2,0.05,20.048710799137467,0.07528618399976518,0.502585120968232,0.8000654106379022,0.9464570268700818,0.7399039848903298
F-31,ST-52,ST-52,MH,2,0.1,33.157483244727345,0.12451176584576547,0.474617255857114,0.7888238015464925,0.9434464963988973,0.7252797133351921
F-31,ST-52,ST-52,MH,2,0.15,52.435089782359526,0.1969023273840012,0.4272596888165877,0.7697885532687044,0.938348810249088,0.7005166533790717
F-32,ST-57,ST-57,ML,1,0.02,23.50036023054755,0.07380766404066443,0.3066696846751214,0.5981178083590689,0.8492735647134386,0.5814185824956427
F-32,ST-57,ST-57,ML,1,0.05,31.157780979827088,0.09785735232357755,0.2881866010922711,0.5874042682550598,0.8452554376534078,0.5702598675873874
F-32,ST-57,ST-57,ML,1,0.1,40.13544668587896,0.12605353858630328,0.26522132339386356,0.5740926678114041,0.8402629047057825,0.556395136333171
F-32,ST-57,ST-57,ML,1,0.15,47.0007204610951,0.14761532808132885,0.24663447678298664,0.5633189824747505,0.8362222200985289,0.5451737770050832
F-32,ST-57,ST-57,ML,2,0.02,11.090057636887607,0.030259365994236308,0.3566121842496285,0.6805349182763747,0.9361069836552749,0.6453094053694869
F-32,ST-57,ST-57,ML,2,0.05,16.23901296829971,0.04430835734870317,0.34715416509611763,0.6758386732001511,0.9351677346400301,0.6400953333036784
F-32,ST-57,ST-57,ML,2,0.1,27.98919308357349,0.07636887608069165,0.32449297971918867,0.6645865834633388,0.9329173166926676,0.6276025426110212
F-32,ST-57,ST-57,ML,2,0.15,35.11851585014409,0.09582132564841499,0.3099601593625498,0.6573705179282872,0.9314741035856573,0.6195908044839278
F-33,ST-59A,ST-59,SC,1,0.02,8.366449055330634,0.061292667072019295,0.31571935378816557,0.5523168257267423,0.8119595059710245,0.5627839307116057
F-33,ST-59A,ST-59,SC,1,0.05,10.630311740890688,0.07787774169150688,0.30341204260915516,0.5442649011751857,0.8085774537573879,0.5549202650548538
