model,tube_id,specimen_id,stage,stage_index,soil_type,test_family,strain_confidence,eps_obs,eps_pred,lambda_obs,lambda_pred,protocol_group,log_eps_obs,log_eps_pred,eps_log_residual,log1p_lambda_obs,log1p_lambda_pred,lambda_log_residual,joint_absolute_shape_error
StateInteraction,ST-34,ST-34B,2nd,2,ML,multistage,template_axis,3.777351247600768,2.9117140620409256,7.373968690134767,1.9161584429126783,multistage_later,1.3290230358588317,1.0687419325327419,0.2602811033260899,2.1251279286521503,1.0702671483742172,1.054860780277933,0.6575709418020115
StateInteraction,ST-34,ST-34B,3rd,3,ML,multistage,template_axis,3.408829174664107,2.757754667754221,5.5596230439567575,2.108094777319373,multistage_later,1.2263688817987484,1.0144168224610521,0.21195205933769623,1.880933138493477,1.134009926673452,0.7469232118200251,0.47943763557886065
StateInteraction,ST-36,ST-36,single,1,MH,single_stage,template_axis,3.81021897810219,2.7858679666763413,3.627790225091772,3.868055156523352,other,1.3376866620545138,1.0245594825175564,0.31312717953695746,1.5320794809687162,1.5826945054890607,-0.0506150245203445,0.18187110202865098
StateInteraction,ST-37,ST-37A,1st,1,MH,multistage,template_axis,2.564102564102564,3.094892998658085,6.672003767195702,3.257418448745275,multistage_stage1,0.9416085398584448,1.1297533332152023,-0.1881447933567575,2.0375778286127817,1.44866297864319,0.5889148499695918,0.3885298216631746
StateInteraction,ST-37,ST-37A,2nd,2,MH,multistage,template_axis,1.8608058608058609,3.028916861322106,4.10143687937546,3.503327027069402,multistage_later,0.6210096523935222,1.1082050841022504,-0.48719543170872814,1.6295222411027341,1.5048164629483323,0.12470577815440187,0.305950604931565
StateInteraction,ST-37,ST-37B,1st,1,MH,multistage,template_axis,2.298507462686567,3.3559449242078654,0.4215882052684649,3.378324219602039,multistage_stage1,0.8322599830226631,1.21073337732842,-0.37847339430575677,0.35177470102342506,1.4766660529145903,-1.1248913518911652,0.751682373098461
StateInteraction,ST-37,ST-37B,2nd,2,MH,multistage,template_axis,4.447761194029851,3.204289318512182,19.886564797092525,3.59849326888082,multistage_later,1.4924008671144384,1.1644903242904945,0.32791054282394394,3.039106119590253,1.5257286995954513,1.5133774199948018,0.9206439814093729
StateInteraction,ST-38,ST-38A,1st,1,MH,multistage,template_axis,3.123388581952118,3.3491670155873776,1.2496247645913257,3.4300057421789565,multistage_stage1,1.1389184964179129,1.2087116628544559,-0.06979316643654299,0.8107634310157062,1.4884008802591289,-0.6776374492434226,0.3737153078399828
StateInteraction,ST-38,ST-38A,2nd,2,MH,multistage,template_axis,1.6206261510128912,3.263721448716575,0.4890032749721647,4.101717706346477,multistage_later,0.48281258753831663,1.18286809299342,-0.7000555054551034,0.3981069531434859,1.6295772881901283,-1.2314703350466423,0.9657629202508728
StateInteraction,ST-38,ST-38B,1st,1,MH,multistage,template_axis,3.02367941712204,5.1048406392870405,2.3016770387936343,2.730687833450924,multistage_stage1,1.1064744398410582,1.6301892345352653,-0.5237147946942071,1.194430532959641,1.3165926224059916,-0.12216208944635065,0.3229384420702789
StateInteraction,ST-38,ST-38B,2nd,2,MH,multistage,template_axis,4.772313296903461,3.497229924797765,10.112043339491516,3.639225423224077,multistage_later,1.562831155245612,1.2519712050756384,0.3108599501699736,2.408029505686654,1.534547417653041,0.8734820880336129,0.5921710191017933
StateInteraction,ST-39,ST-39A,1st,1,MH,multistage,template_axis,2.6867924528301885,3.8132348699986185,1.9610426945079364,3.2455565167876697,multistage_stage1,0.9883480854257535,1.3384778761456213,-0.35012979071986783,1.0855414679644844,1.4458729105315933,-0.3603314425671089,0.3552306166434884
StateInteraction,ST-39,ST-39A,2nd,2,MH,multistage,template_axis,1.9169811320754715,3.4820984524882292,4.66495355862502,3.4707131846147186,multistage_later,0.6507516215922595,1.2476351156413443,-0.5968834940490848,1.734298696498444,1.497547945029678,0.2367507514687659,0.41681712275892535
StateInteraction,ST-39,ST-39B,1st,1,MH,multistage,template_axis,1.922365988909427,3.9758678230812974,1.4067517893306432,3.190997252444838,multistage_stage1,0.6535567132889368,1.3802430445499172,-0.7266863312609804,0.8782780331391062,1.4329387133580949,-0.5546606802189886,0.6406735057399845
StateInteraction,ST-39,ST-39B,2nd,2,MH,multistage,template_axis,4.273567467652495,3.4764680299980153,6.966261665786128,3.5852715460010627,multistage_later,1.4524489509457865,1.2460168444835904,0.20643210646219612,2.075215332046503,1.522849328818623,0.5523660032278803,0.3793990548450382
StateInteraction,ST-40,ST-40,single,1,MH,single_stage,high_tick_calibrated,6.146892655367233,3.8178147551211823,8.971136384189133,2.75046680216518,other,1.815946694842059,1.3396782053001783,0.4762684895418807,2.2996945578384724,1.3218803128126366,0.9778142450258358,0.7270413672838583
StateInteraction,ST-42,ST-42,single,1,MH,single_stage,template_axis,11.37313432835821,5.423413166714317,3.2681003689619574,2.295771109763525,other,2.4312539362956804,1.6907253528074713,0.7405285834882092,1.4511688497895083,1.1926401647825204,0.2585286850069879,0.4995286342475985
StateInteraction,ST-43,ST-43,single,1,MH,single_stage,high_tick_calibrated,5.506692160611855,5.610651581379192,2.261567493320885,1.9428552015022975,other,1.7059641090650688,1.7246668592035357,-0.018702750138466895,1.1822079059908044,1.0793802670563193,0.1028276389344851,0.060765194536476
StateInteraction,ST-47,ST-47,single,1,MH,single_stage,high_tick_calibrated,10.27289719626168,4.041667152935101,4.54764495335301,3.2778086234499866,other,2.3295090870061785,1.3966572684692695,0.932851818536909,1.7133735049745469,1.4534408746081426,0.25993263036640424,0.5963922244516566
StateInteraction,ST-49,ST-49A,1st,1,MH,multistage,template_axis,2.3670411985018727,3.5571115218306977,1.489966116109284,3.599358022594376,multistage_stage1,0.8616407357466079,1.2689488452526478,-0.4073081095060399,0.9122691023957874,1.5259167334500332,-0.6136476310542458,0.5104778702801429
StateInteraction,ST-49,ST-49A,2nd,2,MH,multistage,template_axis,2.411985018726591,3.4059901903747187,2.8786560593800843,4.0636786737838655,multistage_later,0.8804500677041037,1.2255357021349746,-0.3450856344308709,1.3554887171845722,1.622093229784385,-0.2666045125998129,0.3058450735153419
StateInteraction,ST-49,ST-49B,1st,1,MH,multistage,template_axis,2.317757009345794,5.012404655245438,0.8026491123809197,2.985119175396384,multistage_stage1,0.8405999117030759,1.6119157710543597,-0.7713158593512838,0.5892573120707676,1.3825672177915862,-0.7933099057208186,0.7823128825360512
StateInteraction,ST-49,ST-49B,2nd,2,MH,multistage,template_axis,2.332710280373832,3.656705853474037,2.270240188178077,3.7450838951199423,multistage_later,0.8470308020333666,1.2965627020996304,-0.44953190006626387,1.1848634342539182,1.5571091126474101,-0.372245678393492,0.4108887892298779
StateInteraction,ST-49,ST-49B,3rd,3,MH,multistage,template_axis,3.0205607476635516,3.3315318519389363,2.688521864717334,4.2364961739132445,multistage_later,1.1054424921850343,1.2034322138148932,-0.09798972162985886,1.3052257991319798,1.6556526055735339,-0.3504268064415541,0.22420826403570648
StateInteraction,ST-50,ST-50,single,1,MH,single_stage,high_tick_calibrated,11.3648393194707,3.653264629923669,14.441041006119924,3.0161452862031224,other,2.430524319014566,1.295621186997103,1.134903132017463,2.7370289649999844,1.3903225585784689,1.3467064064215155,1.2408047692194892
StateInteraction,ST-51,ST-51,1st,1,MH,multistage,template_axis,2.224677716390423,4.297882418263313,5.657304106068023,2.839909454840823,multistage_stage1,0.7996120585608246,1.4581224405318411,-0.6585103819710165,1.895714613724489,1.3454487868530998,0.5502658268713891,0.6043881044212028
StateInteraction,ST-51,ST-51,2nd,2,MH,multistage,template_axis,4.876611418047882,3.7633918672851823,12.216873697615233,3.19242923454728,multistage_later,1.5844505971229634,1.3253206431241011,0.2591299539988623,2.581494323674569,1.4332803355142838,1.1482139881602853,0.7036719710795738
StateInteraction,ST-52,ST-52,1st,1,MH,multistage,template_axis,3.4327808471454877,5.484938196773981,0.8348914135744603,2.6882276123788285,multistage_stage1,1.233370675311601,1.7020058259834905,-0.46863515067188954,0.6069853045918326,1.3051460208123893,-0.6981607162205566,0.5833979334462231
StateInteraction,ST-52,ST-52,2nd,2,MH,multistage,template_axis,2.327808471454881,4.805887464078205,2.893835924631728,2.9727018000594247,multistage_later,0.8449272547728676,1.5698417213260605,-0.7249144665531929,1.3593947706312965,1.3794464173982623,-0.020051646766965803,0.37248305666007936
StateInteraction,ST-53,ST-53,single,1,MH,single_stage,high_tick_calibrated,10.732075471698112,5.61554195569734,2.646284637776997,2.536241910277776,other,2.373236964936909,1.7255381028020609,0.6476988621348481,1.2937087417164144,1.2630645559753924,0.030644185741022012,0.33917152393793504
